cnpj,matriz_filial,nome_fantasia,situacao,data_inicio,cnae_principal,uf,municipio_cod,cep,bairro,ddd_1,telefone_1
59.160.795/0001-48,1,,02,20250129,4399103,SP,6511,13340823,RESIDENCIAL LONDON PARK,11,45294026
59.160.808/0001-89,1,,02,20250129,4785799,SC,8061,88348273,TABULEIRO,47,99887649
59.160.817/0001-70,1,,02,20250129,1031700,MG,2671,35338000,AREA RURAL,33,99548383
59.160.829/0001-02,1,,02,20250129,4930201,ES,5665,29770000,ANTUR ARTUR,27,96601270
59.160.841/0001-09,1,,02,20250129,4743100,RO,0005,76900190,URUPA,69,93790101
59.160.852/0001-99,1,,02,20250129,4924800,BA,3665,45470000,CENTRO,75,88997078
59.160.865/0001-68,1,TABACARIA 2 IRMAOS,02,20250129,5611205,PR,7535,81935309,SÍTIO CERCADO,41,35653326
59.160.877/0001-92,1,,02,20250129,9602501,SP,6779,15407440,CONJUNTO HABITACIONAL ANTONIO JOSE TRINDADE,17,97410087
59.160.889/0001-17,1,,08,20250129,8219999,PR,7427,86700255,CENTRO,43,96450944
59.160.898/0001-08,1,,08,20250129,8219999,RJ,5865,24240185,SANTA ROSA,21,99520826
59.160.908/0001-05,1,,02,20250129,8599699,SC,8057,89500049,CENTRO,49,98282324
59.160.920/0001-10,1,,02,20250129,7420001,SP,7107,04280000,VILA NAIR,11,94810200
35.169.825/0002-08,2,,02,20250129,1066000,PB,1987,58884000,ZONA RURAL,83,99520523
59.160.943/0001-24,1,,02,20250129,4755503,SP,6343,14795000,CENTRO,17,81857557
59.160.955/0001-59,1,,08,20250129,8219999,MG,4921,35409233,ALTO DO BELEZA (CACHOEIRA DO CAMPO),31,97952445
59.160.966/0001-39,1,,02,20250129,8650003,GO,9373,74080250,SET SUL,62,99999999
59.160.975/0001-20,1,,02,20250129,7319002,PR,7535,81230030,CIDADE INDUSTRIAL,41,96735511
59.160.988/0001-07,1,,02,20250129,8599604,BA,3529,45540000,NASSER BORGES,73,81228649
59.161.001/0001-60,1,SCP CDG,02,20241128,4222701,PR,7535,80030030,CENTRO CIVICO,41,33390718
59.161.011/0001-04,1,,08,20250129,4399103,ES,5705,29070255,MARIA ORTIZ,27,98540832
59.161.021/0001-31,1,,02,20250129,3314799,SC,8127,89275150,BANANAL DO SUL,47,88670962
59.161.031/0001-77,1,BELENS COMUNICACAO,02,20250129,7319002,BA,3685,42700170,RECREIO IPITANGA,71,99779691
59.161.044/0001-46,1,LAVANDERIA OLIVEIRA,02,20250129,9601701,BA,3499,45590000,CENTRO,73,81600428
59.161.053/0001-37,1,,08,20250129,7319002,PR,7765,85174317,VILA CALDAS,42,99017608
59.161.065/0001-61,1,,02,20250129,9001902,SP,7107,03283000,VILA EMA,11,00000000
59.161.078/0001-30,1,,08,20250129,8219999,SC,8233,88133040,PASSA VINTE,47,99019107
59.161.090/0001-45,1,,02,20250129,5612100,SP,7107,08215550,ITAQUERA,11,58775079
59.161.101/0001-97,1,,02,20250129,8219999,SP,7071,11025031,EMBARE,13,91765916
59.161.112/0001-77,1,,02,20250129,4789003,MG,4123,31995150,ACAIACA,31,91382156
59.161.123/0001-57,1,,02,20250129,8211300,SP,7075,09725240,CENTRO,11,85837799
59.161.134/0001-37,1,,08,20250129,5320201,SP,7107,08412180,JARDIM SAO PAULO(ZONA LESTE),11,98826993
54.957.439/0001-36,1,,08,20240430,5320202,BA,3849,40070390,BARRIS,71,84502054
59.161.154/0001-08,1,CADU CAVALHEIRO ARQUITETURA,02,20250129,7111100,SC,8045,88164230,BEIRA RIO,48,92051568
59.161.164/0001-43,1,,02,20250129,4755503,ES,5677,29830000,CENTRO,27,98904015
59.161.175/0001-23,1,,02,20250129,8599699,MT,9047,78217155,VILA NOVA,65,99910950
59.161.186/0001-03,1,,08,20250129,9602501,SP,7107,01489900,JARDIM PAULISTANO,11,93923464
59.161.198/0001-38,1,RESIDENCIAL JAILINI,02,20250110,8112500,SC,8335,88730000,CENTRO,48,36571155
59.161.210/0001-04,1,2H MEDICAL,02,20250129,8610102,GO,9361,73801290,CENTRO,61,99895996
12.935.977/0002-60,2,,02,20250129,5211799,MG,0722,32920000,RETIRO DO MOINHO,28,99721163
59.161.229/0001-50,1,,08,20250129,4789007,RS,8717,93900000,VISTA ALEGRE,51,91916215
59.161.241/0001-65,1,,02,20250129,5620104,SP,7145,18054050,JARDIM TROPICAL,15,32027576
