cnpj,matriz_filial,nome_fantasia,situacao,data_inicio,cnae_principal,uf,municipio_cod,cep,bairro,ddd_1,telefone_1
59.170.099/0001-12,1,,02,20250129,5611204,MG,4123,31210420,BONFIM,31,38898020
59.170.110/0001-44,1,,02,20250129,8219999,SP,6251,12929790,BAIRRO DOS CARDOSO,11,97508508
59.170.120/0001-80,1,,02,20250129,3832700,PE,2459,55180000,JATOBAZINHO,81,81735451
59.170.132/0001-04,1,,02,20250129,4724500,SP,6415,08506230,VILA SAO PAULO,11,46393705
59.170.146/0001-28,1,,02,20250129,4321500,ES,5697,29946210,GURIRI NORTE,27,97226282
59.170.156/0001-63,1,,02,20250129,9609206,MS,9131,79904162,BAIRRO DA SAUDADE,67,96011360
59.170.168/0001-98,1,,02,20250129,4530703,CE,1389,60878045,PEDRAS,85,92536872
59.170.178/0001-23,1,,02,20250129,4619200,SC,8379,89566066,PANAZZOLO,49,99837013
59.170.192/0001-27,1,TRANSPORTADORA DIAS FERREIRA,02,20250129,4930202,GO,9403,76630000,VILA LEONOR,62,33754720
59.170.202/0001-24,1,,08,20250129,8599699,PR,7815,86490000,CENTRO,43,99321253
59.170.213/0001-04,1,,02,20250129,4520006,SC,8055,88351400,SAO LUIZ,47,96398537
59.170.224/0001-94,1,,08,20250129,4723700,MS,9015,79770000,CENTRO,67,96138814
49.542.096/0001-09,1,,02,20230209,4724500,RJ,5907,25884000,VILA DO PIAO,24,93276232
59.170.246/0001-54,1,,02,20250129,9001902,PB,2051,58040660,TORRE,83,96449846
59.170.256/0001-90,1,USELI SEMIJOIAS,08,20250129,4783101,RJ,5819,28010561,CENTRO,21,66773689
59.170.268/0001-14,1,,02,20250129,8011102,SP,6475,11421090,GUAIUBA,13,78999975
59.170.279/0001-02,1,,08,20250129,5229099,RJ,2913,26425350,VILA CENTRAL,21,75673903
59.170.291/0001-09,1,GOLD ESTETICA AUTOMOTIVA,02,20250129,4520005,PA,0545,68380000,SAO JOSE,94,81640193
59.170.301/0001-06,1,CASA DE REPOUSO VOVO ALDA,02,20250129,8711502,ES,5703,29100535,OLARIA,27,99844687
59.170.312/0001-96,1,,02,20250129,9602501,SP,7107,04176070,JARDIM VERGUEIRO (SACOMA),11,25980568
59.170.323/0001-76,1,JURASSIC PIZZA,02,20250129,5620104,PB,2051,58038340,MANAÍRA,83,91405005
59.170.335/0001-09,1,,02,20250129,4789099,RN,1761,59065100,CANDELARIA,84,94079602
59.170.346/0001-80,1,,02,20250129,4721102,SP,7107,03983000,PARQUE SANTA MADALENA,33,75098389
59.170.355/0001-71,1,,02,20250129,4751201,MG,4961,38740318,SANTO ANTONIO,34,92940560
59.170.366/0001-51,1,,02,20250129,5611203,ES,5699,29166078,BARCELONA,27,99602728
59.170.378/0001-86,1,,02,20250129,5320201,SP,6477,07082210,JARDIM MOREIRA,11,76127380
59.170.389/0001-66,1,,02,20250129,2542000,MG,4371,32041690,LINDA VISTA,31,71902425
59.170.400/0001-98,1,,02,20250129,9602502,MG,4957,37904350,CALIFORNIA,35,98143438
59.170.410/0001-23,1,,02,20250129,4785799,MG,4123,31585060,CEU AZUL,31,93191513
59.170.422/0001-58,1,,02,20250129,4781400,SP,7075,09850730,ALVARENGA,11,43571268
59.170.434/0001-82,1,,02,20250129,4930201,PR,7563,85859440,PORTAL,45,84163805
59.170.445/0001-62,1,,02,20250129,4520002,SP,6163,14807044,VILA MELHADO,16,81043294
59.170.458/0001-31,1,,02,20250129,8599699,MT,0099,78613000,CENTRO,66,96550857
59.170.469/0001-11,1,,02,20250129,8211300,RS,8815,96216100,PARQUE RESIDENCIAL JARDIM DO SOL,47,91709595
49.000.602/0001-38,1,,02,20221229,2542000,SP,6529,13496026,JARDIM SANTA RITA,19,89027285
59.170.490/0001-17,1,,02,20250129,4520001,SP,7073,12490000,MONJOLINHO,12,96276064
59.170.503/0001-58,1,,02,20250129,4783101,SP,6177,07411365,CIDADE NOVA ARUJA,21,24566822
59.170.515/0001-82,1,,02,20250129,2599399,MG,5403,38413295,CHACARAS TUBALINA E QUARTEL,34,97664926
59.170.526/0001-62,1,,02,20250129,7500100,SC,8105,88075544,BALNEARIO,48,91276328
59.170.537/0001-42,1,,02,20250129,8219999,MG,4669,35550000,BELA VISTA,37,99293144
59.170.545/0001-99,1,,02,20250129,8599699,MS,9051,79105430,JARDIM CARIOCA,67,92348548
59.170.558/0001-68,1,,02,20250129,0161003,SP,6789,06145040,CONCEICAO,11,51581267
59.170.567/0001-59,1,NOUS BIKE,02,20250129,9313100,MT,9067,78045430,POPULAR,65,92843846
59.170.578/0001-39,1,,02,20250129,4923002,SP,2951,13187156,JARDIM SAO SEBASTIAO,19,81535389
59.170.590/0001-43,1,SAN CONSULTORIA E SERVICOS,02,20250129,6311900,GO,9373,74140110,SET OESTE,62,40187600
59.170.602/0001-30,1,,02,20250129,4321500,SC,8245,88385000,SAO CRISTOVAO,47,92348319
59.170.614/0001-64,1,,02,20250129,9602502,RS,8537,92870000,CENTRO,51,95188203
59.170.624/0001-08,1,,08,20250129,1091102,SP,7107,03563070,VILA NHOCUNE,11,89761025
59.170.636/0001-24,1,,02,20250129,6911701,RS,8721,96300000,CENTRO,53,99079577
59.170.648/0001-59,1,,02,20250129,6911701,BA,3515,44001205,CENTRO,75,99609058
59.170.660/0001-63,1,JCF CONTABILIDADE,02,20250129,6920601,RJ,2909,26140310,HELIOPOLIS,21,26613507
59.170.671/0001-43,1,,08,20250129,7319002,PR,7563,85870760,CIDADE NOVA,45,99944955
44.096.740/0001-49,1,,08,20211102,5620104,PA,0571,68557508,SETOR MARAJOARA II,94,99927176
59.155.262/0001-78,1,,02,20250128,1096100,PE,2381,55024820,INDIANOPOLIS,81,99681387
59.170.702/0001-66,1,,02,20250129,4399103,SC,8367,88705840,RECIFE,48,98341361
54.159.111/0001-74,1,AEB CONSULTORIA,02,20240302,8599604,RJ,6001,20251410,SANTA TERESA,21,96059573
51.741.756/0001-22,1,,02,20230809,4729699,DF,9701,71215271,ZONA INDUSTRIAL (GUARA),61,82570130
59.170.732/0001-72,1,,08,20250129,8630503,PE,2491,53030120,BAIRRO NOVO,81,88856186
59.170.744/0001-05,1,SORRISO & SAUDE,02,20250129,8630504,RO,0015,76890000,SETOR 05,69,35212069
59.170.755/0001-87,1,RCTECH ENGENHARIA,08,20250129,7112000,CE,0991,61885476,ANCURI,85,96354990
59.170.766/0001-67,1,,02,20250129,5320202,SC,8089,88812859,LINHA BATISTA,48,84739659
59.170.775/0001-58,1,,02,20250129,4110700,RS,8587,96600000,TEIXEIRAS,53,99261604
59.170.786/0001-38,1,,01,20250129,5232000,CE,1559,62010180,CENTRO,85,84747434
59.170.796/0001-73,1,,08,20250129,9602502,RJ,5877,25750222,PEDRO DO RIO,24,22377287
59.170.806/0001-70,1,,02,20250129,8650003,CE,1389,60060320,PRAIA DE IRACEMA,85,97161433
59.170.816/0001-06,1,TRIHERA SAUDE,02,20250129,8610101,PI,1219,64045580,SÃO JOÃO,86,88083300
50.667.968/0001-44,1,,04,20230515,4781400,PR,7431,87260000,JARDIM ESPERANCA,44,99493502
59.170.836/0001-87,1,,02,20250129,4729699,SP,7107,02084010,VILA ISOLINA MAZZEI,11,59602266
59.170.848/0001-01,1,GENSTART,02,20250129,8211300,SP,7075,09750730,CENTRO,11,13096354
45.608.705/0001-24,1,,04,20220310,4763603,PB,2051,58064270,VALENTINA DE FIGUEIREDO,83,00000000
59.170.870/0001-51,1,,08,20250129,5320201,SP,6663,15270000,JARDIM FLORENCA,17,38740000
59.170.881/0001-31,1,EFATA ELOHIM E - ECOMMERCE,02,20250129,4755502,SP,6619,13209220,JARDIM MORUMBI,11,36444211
59.170.890/0001-22,1,,08,20250129,0151201,SP,7059,14390000,SITIO BOA ESPERANCA,16,91325900
50.341.103/0001-93,1,ALVES MOTO PECAS,04,20230417,4541206,CE,1447,63034115,PIRAJA,88,99498930
59.170.907/0001-41,1,,02,20250129,7319002,AP,0605,68907450,RENASCER,62,99439416
59.170.918/0001-21,1,,08,20250129,5620102,RS,8801,91520001,VILA SAO JOSE,51,98601066
50.190.972/0001-64,1,,02,20230403,4781400,MG,5403,38414387,LUIZOTE DE FREITAS,34,91735520
59.170.939/0001-47,1,,02,20250129,4923002,SP,7183,12092783,JARDIM CONTINENTAL,12,91338802
59.170.949/0001-82,1,YASMIN ASSUNCAO BIOMEDICA ESTETA,02,20250129,9602502,GO,1052,72915006,JARDIM BRASÍLIA,61,95063973
59.170.960/0001-42,1,,02,20241031,9491000,SP,6953,11900000,AGROCHA,13,96890636
49.231.778/0002-81,2,,08,20230123,5620103,PR,7565,85601680,VILA NOVA,45,99823625
59.170.982/0001-02,1,,02,20250129,4782201,MG,5285,37928000,BELVEDERE,37,34333076
59.170.992/0001-48,1,,08,20250129,8712300,TO,9733,77025145,PLANO DIRETOR SUL,63,92956362
59.171.004/0001-85,1,IMPERIUM MARCENARIA,02,20250129,3101200,SP,7057,09241001,PARQUE DAS NACOES,11,47094029
59.171.015/0001-65,1,,02,20250129,8650003,SC,8179,89204250,AMERICA,47,97620637
59.171.029/0001-89,1,,02,20250129,8599699,GO,9423,75450000,SETOR PADRE ELIGIO,62,93640421
59.171.042/0001-38,1,,02,20250129,4724500,SP,6251,12922590,CIDADE PLANEJADA II,11,97400128
59.171.051/0001-29,1,,02,20250129,4789004,SP,7221,15852346,RESIDENCIAL URUPES II,17,81673566
59.171.063/0001-53,1,RESTAURANTE CANAA,02,20250129,5611201,PR,7511,85540000,CENTRO,46,99413581
59.171.076/0001-22,1,,02,20250129,4781400,BA,3467,48730000,POVOADO GANGORRA 2,75,92780794
59.171.087/0001-02,1,MALUZA BURGUER,02,20250129,5611203,PR,7469,86390000,JD. NOVA AMÉRICA,43,91758549
59.171.098/0001-92,1,,02,20250129,4743100,BA,3515,44033001,CAMPO LIMPO,75,91897946
59.171.111/0001-03,1,,08,20250129,4930202,ES,5709,29395000,CENTRO,28,99566476
59.171.122/0001-93,1,,08,20250129,4763601,SP,6979,13505369,JARDIM CHERVESON,19,97403596
59.171.134/0001-18,1,INFINNITYTRADE,08,20250129,7319002,GO,9625,75386518,SETOR RESIDENCIAL GARAVELO I,91,91104470
59.171.147/0001-97,1,CONCRETA INCORPORADORA E CONSTRUTORA,02,20250129,4399103,RJ,5813,28911290,PALMEIRAS,22,92452745
59.171.156/0001-88,1,,02,20250129,7319002,SP,7107,01514000,LIBERDADE,11,60612306
59.171.169/0001-57,1,,02,20250129,8230001,SP,7107,03613030,VILA SANTANA,11,46298978
59.171.182/0001-06,1,,02,20250129,6204000,SP,6681,17526748,VEREADOR EDUARDO ANDRADE REIS,14,96927717
59.171.192/0001-41,1,,02,20250129,4330405,SP,7107,05789000,PIRAJUSSARA,11,68813688
59.171.202/0001-49,1,,02,20250129,7020400,CE,1389,60822170,CAMBEBA,85,32252655
59.171.214/0001-73,1,,08,20250129,5229099,RJ,6001,20973011,BENFICA,21,25892366
59.171.226/0001-06,1,,02,20250129,8219999,PR,7751,85503210,AEROPORTO,46,91012996
59.171.236/0001-33,1,,08,20250129,5320202,PA,0427,66120310,SACRAMENTA,91,99062004
59.171.246/0001-79,1,,08,20250129,5620104,SP,7057,09170330,JARDIM IRENE,11,40475846
59.171.258/0001-01,1,,02,20250129,2539001,PR,5453,83330210,JARDIM AMELIA,41,99163375
59.171.269/0001-83,1,BRASITECH CONSULTORIA,08,20250129,7020400,RJ,6001,20090050,CENTRO,21,40098767
59.171.282/0001-32,1,,08,20250129,4755502,SP,7107,04661100,JARDIM UMUARAMA,21,95207200
59.171.291/0001-23,1,,02,20250129,8219999,SP,6979,13504648,JARDIM PANORAMA,11,36448674
59.171.301/0001-20,1,INNOVMORE,02,20250129,7020400,SC,8105,88063400,CAMPECHE,11,38544000
59.171.313/0001-55,1,,02,20250129,4761003,SP,6477,07270400,VILA SAO GABRIEL,11,69574424
59.171.325/0001-80,1,,02,20250129,5611201,BA,3849,41830100,PITUBA,71,99181599
59.171.338/0001-59,1,,02,20250129,4520001,RO,0003,76810550,CIDADE NOVA,69,92154709
59.171.347/0001-40,1,,02,20250129,5211799,SP,6377,09932160,TABOAO,11,50760321
59.171.357/0001-85,1,,08,20250129,4785799,SP,6291,13088645,JARDIM SANTANA,19,99389494
59.171.367/0001-10,1,COMERCIAL REDES CARIRI,02,20250129,3299099,CE,1385,63102230,VILA LOBO,88,94418685
59.171.378/0001-09,1,,08,20250129,4930201,PR,7513,83408515,MARACANA,41,96765785
59.171.391/0001-50,1,,02,20250129,8599699,SP,7107,05813040,JARDIM SAO LUIS,11,41066013
59.171.402/0001-00,1,,02,20250129,4399103,SP,6291,13059641,CIDADE SATELITE IRIS,19,94368227
59.171.414/0001-26,1,,02,20250129,4399103,SP,6635,13610239,CENTRO,19,88362785
45.604.427/0001-37,1,FIL INFORMATICA,02,20220310,2621300,BA,3849,41770395,STIEP,71,30177657
59.171.435/0001-41,1,ESPACO LG,02,20250129,8650004,RJ,6001,20520052,TIJUCA,41,98130414
59.171.445/0001-87,1,,08,20250129,8599604,SP,7107,02913040,PIQUERI,11,71872391
59.171.457/0001-01,1,,02,20250129,4721103,BA,3283,46875000,CENTRO,75,83213523
59.171.467/0001-47,1,MAZZ MKT DIGITAL,02,20250129,5912099,RS,8801,91360001,VILA IPIRANGA,51,84819575
59.171.476/0001-38,1,,02,20250129,4330404,RO,0011,76970000,SERINGAL,69,99831473
59.171.485/0001-29,1,MS DISTRIBUICOES,02,20250129,4772500,PB,1937,58110435,BRASILIA,83,98661988
59.171.497/0001-53,1,,08,20250129,8211300,SP,7107,04711130,VILA SAO FRANCISCO (ZONA SUL),11,99999999
59.171.508/0001-03,1,,08,20250129,7319002,SP,7181,18277708,ENXOVIA,15,32592125
59.171.522/0001-07,1,,02,20250129,6810201,SP,7107,02010000,SANTANA,11,47889580
59.171.532/0001-34,1,,02,20250129,4930204,MG,4791,35293116,JARDINS,33,99999999
59.171.545/0001-03,1,,02,20250129,5611201,PE,2357,54515190,COHAB,81,87708974
59.171.556/0001-93,1,,02,20250129,2349499,SP,6125,19160049,CENTRO,18,81733338
55.982.646/0001-03,1,PLOTASUL,02,20240718,8299799,SC,8083,89710016,FLORESTA,49,91166008
59.171.573/0001-20,1,,02,20250129,5620104,SC,8311,89280064,CENTRO,47,99403840
59.171.584/0001-00,1,,02,20250129,4759899,SC,8289,89121000,DIVINEIA,47,91311596
59.171.594/0001-46,1,,08,20250129,4781400,RS,8929,95860000,SAO JOAO,51,92476436
59.171.607/0001-87,1,,02,20250129,4789001,PI,1199,64760000,CENTRO,89,94047417
59.171.620/0001-36,1,,08,20250129,8020002,SP,6403,06910350,SANTA ISABEL,11,91570837
59.171.631/0001-16,1,,08,20250129,1091102,SP,7157,06785280,JARDIM SANTO ONOFRE,11,17359659
59.171.640/0001-07,1,,08,20250129,9602502,MS,9051,79073204,MORADA DO SOL,67,93026110
59.171.653/0001-86,1,,02,20250129,8592999,SP,6953,11900000,VILA SAO FRANCISCO,13,97274198
59.171.664/0001-66,1,,02,20250129,4789001,MT,9067,78085100,COOPHEMA,65,93260111
59.171.672/0001-02,1,,02,20250129,8599604,BA,3433,45157000,CENTRO,77,81319300
59.171.684/0001-37,1,,02,20250129,9602501,MG,4123,31320090,OURO PRETO,31,89346209
59.171.696/0001-61,1,,08,20250129,1529700,RS,8789,98270000,CENTRO,55,91777148
59.171.706/0001-69,1,,02,20250129,4330403,SP,6219,17013260,VILA CARDIA,14,38791312
59.171.717/0001-49,1,,02,20250129,4729699,MG,4521,35573048,ALTO DA PRAIA,37,99314647
59.171.727/0001-84,1,ESTUDIO DEBORA SOUZA,02,20250129,9313100,MG,4123,30520250,CAMARGOS,31,82469634
59.171.738/0001-64,1,,02,20250129,4752100,BA,3663,48540000,CENTRO,75,92220649
59.171.749/0001-44,1,,08,20250129,9602501,SP,6131,13469140,VILA AMORIM,19,36290245
59.171.760/0001-04,1,,02,20250129,5611203,MG,4123,30850540,CONJUNTO CALIFORNIA,31,96370848
59.171.773/0001-83,1,,08,20250129,5320201,SP,7063,13995000,CENTRO,19,99477770
59.171.783/0001-19,1,,02,20250129,5620104,BA,3805,48120000,STAR,71,36455246
55.255.588/0001-16,1,SEVEN GESTAO E EMPREENDIMENTOS,02,20240523,6821801,PE,2521,56328020,CIDADE UNIVERSITARIA,74,88074857
59.171.805/0001-40,1,,02,20250129,4930204,SC,8105,88040446,CARVOEIRA,48,96003614
59.171.815/0001-86,1,,02,20250129,9603304,RJ,5897,24473181,ITAOCA,21,68216157
59.171.825/0001-11,1,,02,20250129,5912099,MA,0803,65903030,ENTRONCAMENTO,99,91195655
59.171.839/0001-35,1,,02,20250129,9602501,RJ,5919,25821080,TRIANGULO,24,99069473
59.171.853/0001-39,1,,02,20250129,8599699,SP,7107,04552000,VILA OLIMPIA,18,38512001
59.171.863/0001-74,1,,02,20250129,9529105,RJ,6001,20960110,ROCHA,21,92463955
